AÑO JUDICIAL;SECCIÓN - SALA;RAMA JURÍDICA;NÚMERO EXPEDIENTE;"JURISDICCIÓN
PROCEDENCIA";"JURISDICCIÓN
RESOLUCIÓN";"TÍTULO GENERAL  
(MATERIA DEL RECURSO)";"TÍTULO ESPECIFICO 
(SUMILLA)";PÁGINA;F. LIBRO;F. TOMO;F. AÑO;ENLACE;
1905;Sección judicial;---;***;***;***;***;No produce eficacia jurídica la novación de hecho en el contrato de enfitéusis, cuando se pactó sin las formalidades de ley y no consta en instrumento público.........;263;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Puede solicitarse el término extraterritorial para la absolución de posiciones....;268;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Locación de servicios. Su abono no procede sino en virtud de un convenio en que se fije la renta.....;271;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Produce nulidad el fallo fundado en una tacha sobre comprobación de personería no planteada por la parte..........;275;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;La calificación del delito no procede en el sumario sino en el plenario........;278;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Cuando la ley habla de fecha, como inicial del término probatorio, se refiere á la que comienza al día siguiente de la notificación.;280;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Improcedencia del recurso de nulidad en los juicios de quiebra......;284;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Para los efectos del dominio basta la posesión civil, sin la necesidad de la aprehensión material.........;286;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;El recurso de nulidad es procedente en los juicios de desahucio, cuando la resolución de vista pone término a la acción.....;291;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;El acreedor hipotecario tiene derecho á impedir que el bien hipotecado entre a la masa del concurso ó sea vendido en este juicio....;293;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;El contrato de transporte terrestre, cuando el porteador se dedica habitualmente á ese negocio, está sugeto a los preceptos del Código de Comercio......;297;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Capellanías colativas. Prescripción..;301;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;La ilegalidad del pacto de capitalización debe resolverse en la sentencia y no como oposición al requerimiento de pago........;315;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Prescripción........;317;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Tercería excluyente…;323;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;El derecho a la herencia, debe ser acreditado con las respectivas partidas y no con simples declaraciones de testigos....;327;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;La querella contra un representante á Congreso debe reservarse hasta que terinine el período de su ininunidad....;333;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Rendición de cuentas.......;336;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;En el juicio criminal no puede negarse al reo que durante el término probatorio acredite la nulidad del sumario..;338;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;No es la acción de despojo la que compete á los coopropietarios, sino la de división.....;343;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Restitución in integrum....;345;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;Título de propiedad de las minas.....;350;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1905;Sección judicial;---;***;***;***;***;El Directorio de la Aduana del Callao, no es competente para conocer de las apelaciones en los juicios privativos de comiso. Esta jurisdicción corresponde á las Cortes Superiores ....;356;Anales Judiciales de la Corte Suprema de Justicia 1905;I;1906;Enlace;
1906;Sección judicial;---;688-1905;Cuzco;Lima;Retracto;La preferencia por el tanto concedida en escritura pública, no es sino un derecho de retracto convencional....;5;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;874-1906;Cuzco;Lima;Lesiones graves;Iniciada la acción criminal se cuenta el término para la prescripción desde la última diligencia.......;8;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;003-1906;Puno;Lima;Varios delitos;La acción de daños y perjuicios debe ser materia de una acción civil posterior, cuando el acusado ha sido absuelto definitivamente de la querella contra él interpuesta....;11;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La articulación de abandono no procede como excepción.....;13;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La ejecutoria que ordena la restitución en la posesión del arrendamiento de un fundo á mérito de un juicio de despojo, en que no ha sido parte el locador, no puede cumplirse si se halla vencido el tiempo del contrato.........;16;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Caso en que puede oponerse á la Beneficencia la excepción de cosa juzgada por motivo de un juicio de intestado;23;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La equivalencia del antiguo peso se computa, en las obligaciones pendientes, á razón de ocho reales por peso......;28;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;En la venta judicial de bienes en los juicios de división y partición no es aplicable el artículo 18 de la nueva ley de juicio Ejecutivo.......;33;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Despojo Judicial...;37;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No da lugar á la acción criminal por falsificación el simple hecho de solicitar del Supremo Gobierno el registro de una marca de fábrica semejante á otra previamente registrada.......;43;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No apareja ejecución la escritura de reconocimiento de deuda hecha por los representantes de los menores herederos, sin las formalidades que para obligar bienes de menores requiere la ley ...;48;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No hay retracto entre el dueño del dominio directo y el comunero del dominio útil........;56;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Acumulación de acciones.....;64;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El dueño de la parte alta de una finca no puede ser considerado como comunero respecto de la planta baja, para el efecto del retracto........;70;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No procede la contradicción al requerimiento de pago fundada en haberse realizado una condición resolutoria.......;75;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Sobreseimiento absoluto por no hallarse comprobada la existencia del delito.......;79;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La lesión leve constituye desacato cuando se infiere a un funcionario público en el lugar donde ejerce sus funciones.......;81;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Se sobresee en el conocimiento por escrito de una causa por tratarse de un hurto de menos de cincuenta pesos.........;83;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Durante el término probatorio puede tacharse á los peritos reconocedores del cuerpo del delito..........;85;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El legatario puede oponerse á la división y partición de la herencia mientras no se le asegure el pago del legado..;88;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No constituye confesión lo que al reo hububieren oído autoridades ó testigos, sino la legalmente prestada ante el magistrado que entienda en el proceso........;96;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Interpretación del artículo 1459 del Código de Enjuiciamientos Civil en cuanto concierne á la jurisdicción en materia de retracto....;101;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Fianza que debe prestar el fallido para librarse de la detención preventiva conforme á lo prescrito en la parte final del inciso 5.º del artículo 9.º de la ley procesal de quiebra....;104;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Calificación del delito de calumnia.;111;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Cuando se interpone la tercería apoyada en un documento público que acredita el derecho, se procede sumariamente conforme al artículo 1219 del Código de Enjuiciamientos Civil.....;113;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Para que haya calumnia es necesaria la afirmación de un hecho delictuoso concreto.;116;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Improcedencia de la acción criminal instaurada por el interventor de un fundo contra el propietario que vende parte de los capitales de dicho fundo;119;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No se halla expedita la acción criminal por estafa cuando los hechos en que aquella se funda son materia de un juicio civil iniciado previamente;122;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Improcedencia del recurso de nulidad de los autos que deniegan la prueba ofrecida fuera del término;124;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Aplicación de la Ley de Amnistía de 9 de agosto de 1900;126;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Aplicación del inciso 8 del artículo 8 y del artículo 60 del Código Penal;137;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El auto de prueba debe notificarse á todos los complicados en el enjuiciamiento so pena de nulidad;142;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El que obtiene de un Banco, á favor de persona determinada, un cheque que conserva en su poder, no puede exigir la devolución de su importe por la vía ejecutiva;144;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El Juez Comisionado es recusable;147;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Infanticidio;151;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Recurso de nulidad. Solo puede ser interpuesto por el propio interesado ó por su representante debidamente autorizado;155;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Calificación del delito de robo;158;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Los expedientes judiciales ofrecidos como medios probatorios se hallan sujetos á lo dispuesto en el artículo 734 del Código de Enjuiciamientos Civil;165;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El juego no es justiciable sino cuando tiene lugar en un garito ó á la mala.;168;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Procedencia del recurso de nulidad en los juicios de quiebra. -El juez competente para conocer del juicio de quiebra es el del lugar donde actualmente tenga el comerciante su establecimiento mercantil ;171;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Prevención en 2da Instancia.;182;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El girador de una letra puede deducir la excepción de ilegitimidad de la deuda que se le cobra, y quedar libre de responsabilidad si la comprueba ;186;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Accesión natural. La adherencia á que se refiere el artículo 495 del Código Civil, da derecho al dueño del fundo vecino á adquirir la parte adherida, aún cuando existan linderos conocidos;197;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El locador no puede arbitrariamente alzar el arrendamiento al inquilino, notificado de desahucio. Solo tiene derecho á indemnización por los perjuicios que le cause la demora en la desocupación;200;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No estando comprobado el cuerpo del delito no procede el mandamiento de prisión ;214;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Las lesiones graves que se causan sin inflingir afrenta ó ignominia á la víctíma, no constituyen flagelación;216;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Los herederos no están obligados á reconocer los documentos privados que no estén firmados por sus causahabientes;219;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No puede negarse á los abogados que informen á la vista de las causas criminales que se hallan en estado de sumario;223;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Corresponde al Juez de la causa apreciar el mérito de la información actuada sobre fuga de presos y resolver acerca de la jurisdicción competente para juzgar á los culpables de la evasión ;226;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Los jueces instructores militares no tienen facultad para promover contiendas de competencia á los jueces comunes;230;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Restitución in integrum;233;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Las Beneficencias no gozan del beneficio de restitución;240;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La hija mayor de 21 años no tiene derecho á ser alimentada por su padre natural salvo el caso de hallarse habitualmente enferma;244;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El impedimento que puntualiza el inciso 6 del artículo 13 del Código de Enjuiciamientos Penal debe entenderse también en el caso de afinidad;248;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;lcance de la ley de 16 de octubre de 1900 sobre robo de ganado;251;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El pago de intereses interrumpe el término de la prescripción de la acción ejecutiva;255;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No procede el recurso de Habeas Corpus contra la autoridad política que ordena la detención, cuando el detenido ha sido puesto á disposición del juez;258;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Abandono de la Instancia;261;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Cuando se deniega el recurso de nulidad por extemporáneo el incidente que se promueve debe recibirse á prueba para acreditar la fecha de la presentación del recurso;263;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La entrega que se hace al ejecutante de un bien raíz para hacerse pago con sus frutos no obsta para que continúe la ejecución cuando el acreedor lo solicite;265;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El derecho de retracto acordado por el artículo 2133 del Código Civil, no puede ejercitarse en el juicio de división y partición, sino por acción separada;271;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Los colegios ó establecimientos de instrucción no gozan del beneficio de restitución in ivitegrum;276;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Procede la accion sumaria de misión en posesión para obtener la devolución de un bien dado en anticrésis;281;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Competencia de los jueces ordinarios para conccer de los robos perpetrados por individuos de la guardia civil estando francos ó fuera del servicio;285;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No corre el tiempo para la prescripción en los juicios criminales cuando no se paraliza su prosecución;287;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Insubsistencia de un fallo de vista por no haberse sustanciado la segunda instancia conforme á ley;288;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Homicidio simple con circunstancias agravantes;292;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Es nulo el plenario actuado sin la previa constatación del cuerpo del delito;298;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Prevención en causas civiles;300;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Cuando no hay oposición en el juicio de desahucio el auto de lanzamiento da mérito al recurso de nulidad;302;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La acción criminal prescribe por la paralización de la causa durante el tiempo señalado por la ley, aún cuando posteriormente se le continúe;304;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Calificación del delito de homicidio;307;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La omisión de los trámites de réplica y dúplica en los juicios de responsabilidad civil no anula lo actuado si no se reclamó de ella oportunamente;311;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;En los juicios coactivos procede el abandono de la instancia;314;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Procede el juzgamiento de oficio en los juicios por lesiones cuando éstas causan incapacidad para trabajar por más de cuatro dias;317;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Las causas en que se controvierte la existencia de un gravámen deben seguirse por los trámites de la vía ordinaria;322;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El derecho que acuerda el artículo 109 del Código de Enjuiciamientos Civil para levantar el impedimento á los jueces no es de aplicación en materia penal;329;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;"Procedencia del recurso de nulidad en los juicios por delitos de imprenta; é insubsistencia de un auto superior por no haber resuelto el punto esencial que se controvierte";332;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Para cobrar una deuda antes del vencimiento del plazo estipulado necesita el acreedor comprobar alguna de las circunstancias á que se refieren los artículos 1287 y 1229 del Código Civil;340;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No procede el apremio de detención corporal para la entrega de mesadas alimenticias;345;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Pedida la división y partición de bienes y verificado el remate, la venta que el mismo día de la subasta haga un conmunero no dá mérito á la acción de retracto;350;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El Albacea mientras no haya dado cuenta de su administración y pagado el saldo, no puede retraer bienes de la testamentaría;361;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No es obligatoria la intervención del Ministerio Fiscal en los juicios en que son parte los Municipios;365;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No procede la querella por abuso de autoridad contra los Alealdes Municipales que conforme á los reglamentos imponen multas ó practican actos ajustados á sus atribuciones.;367;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Fuerza ejecutiva de los saldos-defiritives de la cuenta corriente bancaria;373;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Carece de eficacia jurídica el reconocimiento de la filiaciónnatural, practicado ante los datarios que estableció el Reglamento expedido en 1874 por el Concejo Provincial de Lima;377;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Nulidad de lo actuado por seguirse por los trámites de querella un juicio por lesiones coinprendidas en la 2da parte del artículo 251 del Código Penal;383;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La detención precautoria decretada con arreglo al artículo 70 del Código de Enjuiciamientos Penal no dá lugar al recurso de Habeas Corpus;387;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No procede el recurso de nulidad contra la sentencia que impone pena de suspensión;391;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;No hay lugar á la excepción de pleito acabado cuando declarado el abandono en un juicio coactivo el actor ejercita nuevamente su derecho en juicio ordinario;392;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Los “trámites ordinarios” que indica el artículo 54 del Código de Enjuiciamientos Civil no son los de la vía ordinaria, sino los corrientes, propios del juicio sumario de interdicción;401;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La obligación de rendir cuentas no pasa á los herederos;403;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El arbitraje pactado en una escritura de sociedad comprende las cuestiones derivadas de la disolución de la Compañía;409;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El arraigo como diligencia previa radica jurisdicción;416;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El compromiso de someter á árbitros toda clase de cuestiones es obligatorio;422;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El arbitraje pactado en términos generales no se extiende á los juicios iniciados con anterioridad en que uno de los contratantes se sostituye en los derechos del litigante extraño;428;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Deben actuarse las pruebas que el ejecutado ofrece para acreditar las excepciones que haya deducido y apreciarse su mérito en la sentencia;433;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Absolución definitiva del autor de un homicidio causado por mero accidente;435;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La responsabilidad del porteador á favor del remitente comprende no sólo la entrega de los bultos sino su contenido declarado en dinero, salvo los casos de excepción ;450;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Improcedencia de la acción de tercería;456;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La excepción de jurisdicción fundada en que el conocimiento de la causa corresponde á un juez de paz es legalmente improcedente;459;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La pensión alimenticia que judicialmente se asigna á la mujer casada pendiente el juicio de divorcio es obligatoria para el marido desde que aquella sea puesta en depósito;461;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El interdico de despojo no requiere documento justificativo de posesión: basta la prueba de la tenencia física;463;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;El endoso en clase de comisión de cobranza caduca con la muerte del endosante;467;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Competencia de los Sindicatos regionales de regantes para conocer de las cuestiones de hecho que se susciten sobre riego;469;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La subasta judicial no extingue los gravámenes hipotecarios de la cosa adjudicada, anteriores á la obligación que sirvió de recaudo al procedimiento;476;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Infanticidio por imprudencia temeraria;481;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Se declara válido el reconocimiento de deuda hecho á título de indemnización á favor de la mujer seducida por hombre casado;497;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Está legalmente impedido para conocer en juicio criminal el magistrado cuyo hijo ha intervenido como Fiscal;504;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;Homicidio por imprudencia temeraria;508;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;En la evicción y saneamiento el término para la prescripción de la acción comienza á contarse desde la interposición de la demanda que dá mérito al saneamiento;519;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;La disposición de un testamento para que se adjudique en pago un inmueble de la herencia, es insuficiente como título de dominio;525;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
1906;Sección judicial;---;***;***;***;***;En las causas civiles no puede el juez inhibirse de oficio, por razón del lugar señalado en el contrato para el cumplimiento de la obligación;529;Anales Judiciales de la Corte Suprema de Justicia 1906;II;1906;Enlace;
